Date,ARKB Close,ARKB Volume,BTC Close,NAV Estimate,Premium/Discount (bps),Cost (bps),Create Signal,Redeem Signal,Spread Captured (bps),P&L Per Trade (USD)
2024-01-11,15.5867,17925000,46368.59,14.0497,1093.96,34.87,true,false,1059.09,8253.87
2024-01-12,14.6200,10364400,42853.17,12.9845,1259.57,36.78,true,false,1222.79,8938.60
2024-01-16,14.5033,8599500,43154.95,13.0759,1091.61,37.03,true,false,1054.58,7647.49
2024-01-17,14.2867,3750900,42742.65,12.9510,1031.30,37.50,true,false,993.81,7099.08
2024-01-18,13.6500,8620800,41262.06,12.5024,917.90,38.97,true,false,878.93,5998.72
2024-01-19,13.9100,6289800,41618.41,12.6104,1030.60,38.35,true,false,992.25,6901.08
2024-01-22,13.4017,9714900,39507.37,11.9707,1195.36,39.58,true,false,1155.78,7744.71
2024-01-23,13.0733,8473500,39845.55,12.0732,828.39,40.42,true,false,787.97,5150.68
2024-01-24,13.2000,7111200,40077.07,12.1434,870.14,40.09,true,false,830.05,5478.35
2024-01-25,13.2900,3729000,39933.81,12.0999,983.52,39.86,true,false,943.66,6270.63
2024-01-26,14.0067,7229700,41816.87,12.6705,1054.54,38.13,true,false,1016.41,7118.27
2024-01-29,14.4033,7533000,43288.25,13.1163,981.21,37.24,true,false,943.97,6798.17
2024-01-30,14.5367,6047700,42952.61,13.0146,1169.47,36.96,true,false,1132.52,8231.50
2024-01-31,14.1833,4866300,42582.61,12.9025,992.68,37.73,true,false,954.95,6772.18
2024-02-01,14.3533,5284200,43075.77,13.0520,997.07,37.35,true,false,959.72,6887.59
2024-02-02,14.3167,6437700,43185.86,13.0853,941.02,37.43,true,false,903.59,6468.17
2024-02-05,14.1267,3540600,42658.67,12.9256,929.24,37.85,true,false,891.38,6296.12
2024-02-06,14.3733,4214100,43084.67,13.0547,1010.12,37.31,true,false,972.81,6991.28
2024-02-07,14.7233,5939700,44318.22,13.4284,964.31,36.56,true,false,927.74,6829.74
2024-02-08,15.2000,6432000,45301.57,13.7264,1073.57,35.61,true,false,1037.97,7888.55
2024-02-09,15.8667,7257900,47147.20,14.2856,1106.75,34.36,true,false,1072.39,8507.65
2024-02-12,16.7700,6404100,49958.22,15.1373,1078.56,32.83,true,false,1045.73,8768.45
2024-02-13,16.4900,9443700,49742.44,15.0720,940.85,33.29,true,false,907.56,7482.81
2024-02-14,17.2733,11683500,51826.70,15.7035,999.68,32.05,true,false,967.63,8357.07
2024-02-15,17.2800,10072500,51938.55,15.7374,980.23,32.04,true,false,948.18,8192.31
2024-02-16,17.3233,5675700,52160.20,15.8045,960.98,31.98,true,false,929.01,8046.76
2024-02-20,17.3600,8202900,52284.88,15.8423,957.99,31.92,true,false,926.07,8038.30
2024-02-21,17.0067,11431800,51839.18,15.7073,827.26,32.46,true,false,794.80,6758.42
2024-02-22,17.3700,3781500,51304.97,15.5454,1173.72,31.91,true,false,1141.81,9916.64
2024-02-23,17.0467,4056300,50731.95,15.3718,1089.59,32.40,true,false,1057.19,9010.76
2024-02-26,18.1767,15595500,54522.40,16.5203,1002.63,30.76,true,false,971.88,8832.73
2024-02-27,19.0467,10775700,57085.37,17.2969,1011.63,29.63,true,false,982.00,9351.93
2024-02-28,20.1667,21924600,62504.79,18.9390,648.25,28.31,true,false,619.94,6251.02
2024-02-29,20.7600,9501300,61198.38,18.5431,1195.53,27.68,true,false,1167.86,12122.35
2024-03-01,21.0600,5721900,62440.63,18.9195,1131.37,27.37,true,false,1104.00,11625.10
2024-03-04,22.5967,12509700,68330.41,20.7041,914.09,25.91,true,false,888.18,10034.95
2024-03-05,20.6800,25505400,63801.20,19.3318,697.42,27.76,true,false,669.66,6924.29
2024-03-06,22.3667,8527200,66106.80,20.0304,1166.38,26.12,true,false,1140.26,12751.94
2024-03-07,22.5933,10567500,66925.48,20.2784,1141.56,25.92,true,false,1115.65,12603.08
2024-03-08,23.1300,11887200,68300.09,20.6949,1176.65,25.46,true,false,1151.20,13313.58
2024-03-11,24.0667,14723700,72123.91,21.8535,1012.71,24.70,true,false,988.01,11889.04
2024-03-12,23.8000,22278300,71481.29,21.6588,988.59,24.91,true,false,963.68,11467.81
2024-03-13,24.5367,11204100,73083.50,22.1443,1080.35,24.34,true,false,1056.01,12955.52
2024-03-14,23.1400,17618700,71396.59,21.6332,696.54,25.45,true,false,671.09,7764.52
2024-03-15,23.0500,9571200,69403.77,21.0293,960.87,25.52,true,false,935.35,10779.93
2024-03-18,22.2867,9556200,67548.59,20.4672,888.95,26.19,true,false,862.76,9614.06
2024-03-19,21.4700,14887500,61912.77,18.7596,1444.82,26.96,true,false,1417.87,15220.78
2024-03-20,21.9733,16595400,67913.67,20.5778,678.15,26.48,true,false,651.67,7159.71
2024-03-21,21.7400,10282200,65491.39,19.8439,955.51,26.70,true,false,928.81,10096.20
2024-03-22,21.3333,8810700,63778.76,19.3250,1039.26,27.09,true,false,1012.17,10796.44
2024-03-25,23.7100,12596100,69958.81,21.1975,1185.27,24.98,true,false,1160.29,13755.25
2024-03-26,23.1767,7525800,69987.84,21.2063,929.13,25.42,true,false,903.72,10472.59
2024-03-27,22.9000,8552700,69455.34,21.0450,881.46,25.65,true,false,855.81,9799.02
