day,minute,type,units,spread_bps,gross_pnl_usd,net_pnl_usd,btc_price,etf_price
1,17,creation,2,20.68,430.65,230.65,85205.18,25.8706
1,17,creation,2,20.68,430.65,230.65,85205.18,25.8706
1,28,creation,2,28.24,621.89,421.89,84698.93,25.7362
1,34,creation,2,23.63,503.00,303.00,84591.50,25.6918
1,42,redemption,3,-35.09,1198.52,998.52,84797.59,25.6035
1,42,redemption,3,-35.09,1198.52,998.52,84797.59,25.6035
1,44,redemption,2,-21.75,457.17,257.17,84984.29,25.6942
1,65,creation,2,22.60,475.41,275.41,84392.28,25.6286
1,65,creation,2,22.60,475.41,275.41,84392.28,25.6286
1,65,creation,2,22.60,475.41,275.41,84392.28,25.6286
1,68,creation,2,22.93,482.88,282.88,84218.07,25.5765
1,86,creation,2,25.90,555.32,355.32,83721.81,25.4334
1,86,creation,2,25.90,555.32,355.32,83721.81,25.4334
1,86,creation,2,25.90,555.32,355.32,83721.81,25.4334
1,114,redemption,2,-21.22,438.54,238.54,84026.69,25.4060
1,114,redemption,2,-21.22,438.54,238.54,84026.69,25.4060
1,114,redemption,2,-21.22,438.54,238.54,84026.69,25.4060
1,145,creation,2,20.30,419.54,219.54,84975.33,25.7997
1,145,creation,2,20.30,419.54,219.54,84975.33,25.7997
1,163,redemption,2,-24.88,539.96,339.96,85346.74,25.7956
1,163,redemption,2,-24.88,539.96,339.96,85346.74,25.7956
1,163,redemption,2,-24.88,539.96,339.96,85346.74,25.7956
1,181,creation,2,27.41,611.07,411.07,86152.31,26.1756
1,181,creation,2,27.41,611.07,411.07,86152.31,26.1756
1,181,creation,2,27.41,611.07,411.07,86152.31,26.1756
1,193,creation,3,31.10,1058.53,858.53,85955.88,26.1255
1,197,creation,2,20.73,434.97,234.97,85820.71,26.0575
1,201,redemption,2,-21.10,443.94,243.94,85642.48,25.8948
1,201,redemption,2,-21.10,443.94,243.94,85642.48,25.8948
1,223,creation,2,25.90,569.98,369.98,85904.84,26.0965
1,223,creation,2,25.90,569.98,369.98,85904.84,26.0965
1,223,creation,2,25.90,569.98,369.98,85904.84,26.0965
1,225,creation,1,19.96,207.18,7.18,85732.12,26.0285
1,239,creation,3,36.46,1261.48,1061.48,85526.09,26.0088
1,240,creation,2,21.28,447.82,247.82,85527.77,25.9699
1,245,creation,2,29.66,662.92,462.92,85271.71,25.9138
1,246,creation,1,19.80,204.18,4.18,85340.35,25.9092
1,255,creation,3,44.80,1579.34,1379.34,85185.58,25.9267
1,263,creation,1,19.71,202.73,2.73,85192.91,25.8642
1,263,creation,1,19.71,202.73,2.73,85192.91,25.8642
1,271,redemption,3,-30.95,1041.87,841.87,85042.53,25.6880
1,271,redemption,3,-30.95,1041.87,841.87,85042.53,25.6880
1,281,creation,2,26.30,578.44,378.44,85643.06,26.0179
1,281,creation,2,26.30,578.44,378.44,85643.06,26.0179
1,300,redemption,2,-27.05,600.50,400.50,85976.06,25.9801
1,308,redemption,2,-22.25,475.19,275.19,85895.25,25.9682
1,308,redemption,2,-22.25,475.19,275.19,85895.25,25.9682
1,323,redemption,1,-19.57,204.34,4.34,86600.26,26.1883
1,323,redemption,1,-19.57,204.34,4.34,86600.26,26.1883
1,343,redemption,2,-21.95,470.19,270.19,86413.58,26.1256
1,343,redemption,2,-21.95,470.19,270.19,86413.58,26.1256
1,343,redemption,2,-21.95,470.19,270.19,86413.58,26.1256
1,343,redemption,2,-21.95,470.19,270.19,86413.58,26.1256
1,369,creation,2,23.10,498.51,298.51,86178.36,26.1721
1,369,creation,2,23.10,498.51,298.51,86178.36,26.1721
